Word1,Flag1,Word2,Flag2,MI,logDF
11,m,月,m,6.313207505876613,6.965784284662088
　,x,网友,n,8.67496066127035,6.965784284662088
进入,v,论坛,n,11.31320262100897,6.954196310386876
本季度,n,运营,vn,4.635770908225438,6.954196310386876
条,n,进入,v,10.397814848723911,6.954196310386876
8,m,月,m,6.85837942079193,6.94251450533924
年,m,3,m,4.482448287733019,6.94251450533924
的,uj,运营,vn,1.014266494066245,6.930737337562887
亿元,m,同比,j,2.6339091941573067,6.906890595608519
总营,n,收为,v,7.278108552584474,6.894817763307944
成本,n,为,p,3.0947331369241504,6.894817763307944
销售,vn,和,c,5.686063127786986,6.894817763307944
主要,b,原因,n,6.768545484590748,6.882643049361842
将,d,在,p,5.212558816810058,6.882643049361842
&,x,nbsp,eng,9.169685416272264,6.882643049361842
中,f,的,uj,3.340988532440176,6.882643049361842
nbsp,eng,;,x,8.694756168376774,6.882643049361842
去年同期,n,增长,v,3.0558949019367483,6.870364719583405
%,x,和,c,0.8074149965688665,6.857980995127572
公司,n,的,uj,1.6344104072906132,6.857980995127572
比,p,上,f,6.503405440760783,6.845490050944376
增长,v,的,uj,-0.526580856255406,6.820178962415189
个,m,百分点,m,9.870065962924242,6.807354922057604
每股,r,美国,ns,7.90278814281813,6.794415866350106
原因,n,是,v,7.146291351084252,6.794415866350106
运营,vn,费用率,n,7.166237982274476,6.78135971352466
我们,r,的,uj,2.796557035406211,6.78135971352466
服务,vn,的,uj,2.3709125299267426,6.78135971352466
元,m,人民币,n,5.277411055121292,6.768184324776926
净营,n,收为,v,7.690474095696251,6.768184324776926
　,x,　,x,6.4125868268828645,6.768184324776926
2012,m,年,m,6.024384737493517,6.754887502163469
收入,v,增长,v,1.8348928703123562,6.754887502163469
费用,n,支出,v,4.930166934908955,6.727920454563199
营业,n,收入,v,6.801533775527971,6.727920454563199
摊,n,薄,a,9.922103897392946,6.714245517666122
广告,n,收入,v,5.2760847099266925,6.714245517666122
上,v,季度,n,7.506863463287325,6.714245517666122
北京,ns,时间,n,10.249516768003803,6.700439718141092
%,x,的,uj,-1.6352079230304037,6.6865005271832185
比,p,去年同期,n,5.672741630302749,6.6865005271832185
论坛,n,　,x,8.616979781510686,6.672425341971495
万元,m,人民币,n,4.575438837308043,6.6582114827517955
的,uj,营收,n,1.7670319812093283,6.6582114827517955
及,c,现金,n,6.2548951337417265,6.6582114827517955
营收,n,的,uj,2.4501748758693878,6.643856189774725
10,m,%,x,3.743312149265307,6.643856189774725
同比,j,减少,v,4.572521924748772,6.643856189774725
业绩,n,展望,v,8.506937242568608,6.6293566200796095
环比,j,减少,v,5.09503334097627,6.614709844115209
2007,m,年,m,5.924890273068429,6.599912842187128
来自,v,于,p,7.613215814782223,6.599912842187128
5,m,月,m,6.581160753982643,6.599912842187128
净亏损,vn,为,p,4.312294914202091,6.599912842187128
基本,n,持平,n,9.336981150033346,6.584962500721156
的,uj,净利润,n,1.9158233424392612,6.569855608330948
15,m,%,x,3.8602810178457427,6.569855608330948
研发,j,费用,n,6.61373948441789,6.569855608330948
相比,v,上个季度,l,7.7170003054299725,6.569855608330948
这,r,一,m,10.120839207969587,6.569855608330948
的,uj,影响,vn,3.3790690368925453,6.554588851677638
带来,v,的,uj,4.464660771427613,6.539158811108032
成本,n,的,uj,2.4363969192088915,6.523561956057013
一季度,mq,为,p,2.541864075085645,6.523561956057013
非,h,美国通用,nt,8.264495734975805,6.507794640198696
上,v,一季度,mq,6.680263976166252,6.491853096329675
比例,n,为,p,4.373297439736271,6.491853096329675
第四季度,l,的,uj,1.9597276353406565,6.491853096329675
相关,v,的,uj,2.55098359963864,6.475733430966398
的,uj,减少,v,2.368043533161297,6.475733430966398
游戏,n,的,uj,2.0729373163187494,6.459431618637298
产生,n,的,uj,4.4082070911774265,6.459431618637298
和,c,营销,vn,5.785015697911617,6.442943495848729
在,p,中国,ns,5.391505948181602,6.442943495848729
和,c,去年同期,n,3.4398159896710587,6.442943495848729
审计,v,的,uj,3.5668812265188485,6.442943495848729
下降,v,了,ul,4.211783431501648,6.426264754702098
第三季度,mq,的,uj,1.836176712295236,6.409390936137703
5,x,%,x,4.586848563450872,6.409390936137703
一季度,mq,增长,v,3.535326509675501,6.409390936137703
的,uj,同比,j,0.12946112727312514,6.409390936137703
业务收入,n,为,p,3.7831500725241156,6.409390936137703
14,m,%,x,4.353839946849924,6.39231742277876
去年同期,n,分别,d,6.071549248850905,6.39231742277876
运营,vn,亏损,vn,5.769476247011023,6.39231742277876
第二季度,mq,的,uj,1.9510823236210895,6.39231742277876
增加,v,了,ul,4.1748838486901185,6.375039431346925
后,f,股价,n,8.08319835797484,6.357552004618085
在线,b,游戏,n,7.150288214207298,6.357552004618085
费用率,n,为,p,4.582271131884961,6.357552004618085
为,p,1,m,4.3273813235119345,6.357552004618085
主要,b,得益于,v,6.898737145670191,6.357552004618085
年,m,同期,b,5.230671908861662,6.339850002884625
万美元,m,的,uj,-1.0370998474909319,6.339850002884625
游戏,n,收入,v,4.137153353458674,6.321928094887362
以下,f,为,p,4.698196770346583,6.321928094887362
无线,n,增值,v,8.85318936589121,6.321928094887362
的,uj,比重,n,4.36792237464425,6.321928094887362
与,p,上,f,4.717294360109632,6.303780748177103
2010,m,-,x,3.0147192798038622,6.303780748177103
公布,v,截至,v,6.618442619877426,6.285402218862249
20,m,%,x,3.3080502874820237,6.285402218862249
万美元,m,至,p,3.7300099103096374,6.285402218862249
4,x,%,x,4.551484045715257,6.285402218862249
的,uj,下降,v,1.0703486092493033,6.285402218862249
在,p,总营收,n,6.951882810624485,6.285402218862249
付费,v,用户,n,8.060147171999054,6.285402218862249
截至,v,2011,m,5.343960862208749,6.285402218862249
总营收,n,中,f,8.894226767835356,6.266786540694902
25,m,%,x,4.0742871934005525,6.266786540694902
讯,ng,11,m,7.152179503575708,6.266786540694902
季节性,n,因素,n,10.91875308076395,6.247927513443586
11,m,%,x,2.945035288880538,6.247927513443586
新,a,的,uj,2.6157668059033665,6.247927513443586
12,m,%,x,2.6926754317411,6.247927513443586
%,x,至,p,2.6143278578708204,6.22881869049588
为,p,2,m,3.840531032398408,6.22881869049588
管理费用,n,为,p,4.182281180893599,6.209453365628951
截至,v,2009,m,6.770883848551372,6.209453365628951
季度,n,的,uj,1.916224146731571,6.209453365628951
的,uj,毛利率,n,1.6631986359002038,6.189824558880018
总额,n,为,p,4.6892142056190345,6.189824558880018
讯,ng,8,m,7.435964865538714,6.189824558880018
18,m,%,x,4.3726626437845475,6.169925001442312
第三季度,mq,财报,n,3.98317524670344,6.169925001442312
2,m,月,m,5.3865651734716185,6.169925001442312
中国,ns,大陆,n,9.634711051382784,6.169925001442312
主要,b,来自,v,4.609001816059996,6.169925001442312
第一季度,l,的,uj,1.9208752519141017,6.169925001442312
35,m,%,x,3.942372066771132,6.169925001442312
19,m,%,x,4.327128582908434,6.169925001442312
公司,n,预计,vn,5.3716980825053815,6.149747119504682
6,x,%,x,4.665631121451625,6.149747119504682
审计,v,财报,n,6.835184552993595,6.149747119504682
减少,v,了,ul,3.9794237551406684,6.149747119504682
季度,n,为,p,3.24867367566655,6.149747119504682
同期,b,为,p,3.658896929467086,6.149747119504682
公司,n,在,p,3.3792796458483423,6.149747119504682
截至,v,2010,m,5.793191698277963,6.149747119504682
的,uj,比例,n,3.2567317901579558,6.149747119504682
亏损,vn,为,p,3.4997018427292663,6.149747119504682
财报,n,全文,n,8.245734213395018,6.129283016944967
万美元,m,增长,v,0.6344610526912243,6.129283016944967
的,uj,环比,j,0.8318489073901626,6.129283016944967
13,m,%,x,4.0540538885949715,6.129283016944967
的,uj,广告,n,1.2544100157250495,6.129283016944967
截至,v,2012,m,5.526785349519857,6.129283016944967
主要,b,是因为,c,7.089398514076489,6.10852445677817
运营,vn,支出,v,4.345004748238089,6.10852445677817
16,m,%,x,4.293415892774812,6.10852445677817
新,a,游戏,n,5.932796557756051,6.08746284125034
今日,t,公布,v,8.795593795847733,6.08746284125034
讯,ng,5,m,7.540369334096085,6.08746284125034
费用,n,和,c,2.1849709816506118,6.08746284125034
总值,n,为,p,5.307812062977458,6.066089190457772
2006,m,年,m,5.990833695928635,6.066089190457772
部分,n,抵消,v,10.394885838810096,6.066089190457772
万美元,m,之间,f,4.9749564418707335,6.066089190457772
17,m,%,x,4.2603535454507275,6.044394119358453
同期,b,增长,v,3.98522869871071,6.044394119358453
同比,j,下滑,v,4.402025323843561,6.044394119358453
注册,v,用户,n,8.675605277342594,6.022367813028454
收为,v,人民币,n,4.260633230271288,6.022367813028454
的,uj,人民币,n,0.9637967075232673,6.022367813028454
环比,j,下滑,v,4.94172607422794,6.022367813028454
现金,n,和,c,3.3387431679487167,6.0
美国,ns,东部,f,9.16879821812553,6.0
东部,f,时间,n,10.794690982901571,6.0
主要,b,业绩,n,4.311626178370459,5.977279923499917
39,m,%,x,4.354440319326706,5.977279923499917
持有,v,的,uj,3.3934622685721414,5.977279923499917
与,p,去年同期,n,4.338118918516764,5.977279923499917
预期,vn,的,uj,2.6479114312176892,5.977279923499917
季度,n,增长,v,2.820233508422649,5.977279923499917
上年,t,同期,b,8.626154257808729,5.954196310386876
-,x,11,m,4.349774867231288,5.954196310386876
增值,v,业务,n,6.187123802944853,5.954196310386876
将,d,于,p,5.261907622517013,5.954196310386876
支出,v,的,uj,1.7965985524076353,5.954196310386876
2009,m,-,x,3.621131921187724,5.954196310386876
50,m,%,x,4.3776503584876005,5.954196310386876
11,m,-,x,4.349774867231288,5.954196310386876
第一季度,l,财报,n,4.210191111805292,5.954196310386876
2,x,%,x,3.1908343593474013,5.954196310386876
营收,n,同比,j,2.6974812073697323,5.954196310386876
所,u,占,v,8.841130000190429,5.930737337562887
&,x,gt,eng,9.169685416272264,5.930737337562887
及,c,全年,m,6.39216306276408,5.930737337562887
NASDAQ,eng,:,x,7.076370960936543,5.930737337562887
的,uj,业绩,n,1.7489921418608596,5.930737337562887
gt,eng,;,x,8.694756168376774,5.930737337562887
的,uj,游戏,n,1.1972654513209515,5.930737337562887
33,m,%,x,4.785074673656569,5.930737337562887
第二季度,mq,财报,n,4.09578138731099,5.906890595608519
点击,v,查看,v,12.424158990147344,5.906890595608519
按照,p,美国通用,nt,8.789853539794281,5.906890595608519
大幅,d,增长,v,4.630843757103756,5.906890595608519
和,c,行政,n,6.124535127788637,5.906890595608519
22,m,%,x,4.315244701537345,5.906890595608519
的,uj,原因,n,2.549603235087013,5.882643049361842
:,x,30,m,4.91934580062118,5.882643049361842
营销,vn,支出,v,6.8048060636716245,5.882643049361842
业务,n,展望,v,6.648969192621377,5.882643049361842
0,m,位,v,10.270212582984273,5.882643049361842
:,x,38,m,6.152663167882902,5.882643049361842
位,v,网友,n,11.250690024719454,5.882643049361842
3,x,%,x,3.9581393826294478,5.882643049361842
已有,v,0,m,10.338384085625853,5.882643049361842
月,m,15,m,6.244369041806503,5.882643049361842
本季度,n,毛利,nr,5.890026196488819,5.882643049361842
15,m,日,m,6.549431894598588,5.882643049361842
发表,v,了,ul,7.370715143375163,5.882643049361842
了,ul,看法,v,7.370715143375163,5.882643049361842
网友,n,发表,v,11.342320500185021,5.882643049361842
上升,v,主要,b,5.27004707461906,5.882643049361842
:,x,25,m,5.446042286451836,5.857980995127572
同期,b,的,uj,2.1854521198828243,5.857980995127572
7,x,%,x,4.255101407533065,5.857980995127572
;,x,正文,nz,8.694756168376774,5.857980995127572
的,uj,预期,vn,2.295030408001415,5.857980995127572
讯,ng,3,m,6.1372881657214675,5.857980995127572
第四季度,l,财报,n,3.775823669946019,5.857980995127572
网易,n,&,x,4.394671214256879,5.857980995127572
总务,n,和,c,6.637622772729233,5.857980995127572
股权,n,奖励,vn,9.697310350957062,5.857980995127572
推出,v,的,uj,2.5343841972545706,5.857980995127572
2008,m,-,x,3.5210694168729004,5.857980995127572
市场,n,的,uj,2.2617180141108912,5.832890014164742
的,uj,第二季度,mq,-0.030140469348282375,5.832890014164742
1,x,%,x,3.563559537261041,5.832890014164742
.,m,com,eng,11.046460387168707,5.832890014164742
:,x,52,m,6.868570691819496,5.832890014164742
9,x,%,x,4.660746538654366,5.832890014164742
37,m,%,x,4.8351981530824055,5.832890014164742
及,c,短期投资,n,6.997425419717265,5.832890014164742
8,x,%,x,4.600042779824047,5.832890014164742
24,m,%,x,3.5549049017284013,5.832890014164742
2,m,亿,m,6.860950325005036,5.832890014164742
日,m,为,p,0.31711677507673114,5.832890014164742
:,x,51,m,6.688521473103476,5.807354922057605
收入,v,规模,n,6.150553827842834,5.807354922057605
的,uj,新,n,5.00745381790483,5.807354922057605
收入,v,同比,j,1.6946888242257288,5.807354922057605
32,m,%,x,4.65719985110441,5.807354922057605
文,n,飞翔,nz,12.589723596609474,5.807354922057605
08,m,-,x,5.935649600066865,5.807354922057605
的,uj,上升,v,2.177378819347142,5.807354922057605
-,x,08,m,5.935649600066865,5.807354922057605
行政,n,支出,v,7.536767463747596,5.807354922057605
:,x,49,m,6.7182688164975275,5.807354922057605
业务,n,营收,n,4.196885453633306,5.807354922057605
:,x,44,m,6.5690428077230525,5.807354922057605
兼,v,首席,n,10.394298222873296,5.807354922057605
广告,n,营收,n,5.744296781547591,5.807354922057605
薄,a,收益,n,8.176939682131476,5.807354922057605
的,uj,非,h,1.9238891012656987,5.78135971352466
毛利率,n,的,uj,1.0848388700032945,5.78135971352466
第四季度,l,及,c,3.581173667633785,5.78135971352466
我们,r,将,d,4.907558049937273,5.78135971352466
为,p,3,m,2.738314424458042,5.78135971352466
31,m,%,x,2.237759459853281,5.78135971352466
8.7,m,%,x,5.059697053765574,5.78135971352466
不,d,计入,v,9.175677299733682,5.78135971352466
营销,vn,费用,n,5.931662343222052,5.78135971352466
21,m,%,x,3.7624732447194362,5.754887502163469
股东,n,的,uj,4.096721156001917,5.754887502163469
:,x,35,m,6.30149834999423,5.754887502163469
:,x,06,m,5.636054053209341,5.754887502163469
23,m,%,x,4.373176881908291,5.754887502163469
:,x,02,m,6.784099133085708,5.754887502163469
的,uj,销售,vn,1.8091004081359998,5.754887502163469
:,x,13,m,5.349432827057931,5.754887502163469
年,m,全年,m,5.125242729358947,5.754887502163469
上个季度,l,的,uj,2.401341482311891,5.7279204545632
:,x,58,m,6.222063882499824,5.7279204545632
:,x,07,m,5.601181807523725,5.7279204545632
网,n,的,uj,3.693563042082886,5.7279204545632
将,d,继续,v,6.25215305499128,5.7279204545632
财务,n,业绩,n,7.719174848064676,5.7279204545632
:,x,20,m,5.217349813174369,5.7279204545632
数量,n,的,uj,2.9119312068605385,5.7279204545632
:,x,48,m,6.151097361145681,5.7279204545632
调整,vn,后,f,8.505753233308546,5.7279204545632
:,x,01,m,2.380636326593637,5.7279204545632
费用,n,增加,v,3.520182663356397,5.7279204545632
薄净,z,收益,n,9.280317421976784,5.700439718141093
其他,r,收入,v,4.829599888085333,5.700439718141093
每股,r,摊,n,7.316705102203058,5.700439718141093
总收入,n,为,p,3.1451918621583785,5.700439718141093
:,x,53,m,6.445544719610936,5.700439718141093
盈利,n,为,p,3.9771340786748097,5.700439718141093
:,x,47,m,6.347933922984514,5.700439718141093
摊,n,薄净,z,10.24307307231088,5.700439718141093
83,m,%,x,4.94946149155745,5.700439718141093
38,m,%,x,4.075524537070763,5.700439718141093
亿,m,人民币,n,5.304770818258555,5.700439718141093
-,x,03,m,6.1480129126237655,5.700439718141093
总收入,n,的,uj,3.0858417165895458,5.700439718141093
我们,r,在,p,3.707007773909531,5.700439718141093
03,m,-,x,6.1480129126237655,5.700439718141093
奖励,vn,支出,v,8.235813946588822,5.700439718141093
将,d,进一步,d,6.954173409212404,5.672425341971496
与,p,上个季度,l,6.043928061970734,5.672425341971496
截至,v,2008,m,6.160379087675375,5.672425341971496
还,d,在,p,6.093914320311439,5.672425341971496
占,v,总,b,7.315221265564415,5.672425341971496
汇兑,v,损失,n,10.922079062947175,5.672425341971496
2.7,m,%,x,4.865994669040136,5.672425341971496
:,x,34,m,6.084106609716147,5.672425341971496
有所,n,下降,v,5.987282470768771,5.672425341971496
互联网,n,公司,n,4.721626893045013,5.672425341971496
开支,v,为,p,3.4742319291913817,5.672425341971496
第三季度,mq,运营,vn,2.7475359408027087,5.672425341971496
40,m,%,x,3.7455463094699315,5.643856189774724
400,m,万美元,m,5.488464360585391,5.643856189774724
产品,n,的,uj,1.6650616204577517,5.643856189774724
最大,a,的,uj,4.598988972549472,5.643856189774724
更,d,多,m,10.115567444134879,5.643856189774724
:,x,24,m,6.150971914857102,5.643856189774724
44,m,%,x,3.822121660411888,5.643856189774724
:,x,03,m,6.264633056242367,5.643856189774724
:,x,39,m,5.756692975745056,5.643856189774724
销售,vn,及,c,5.472016370453295,5.643856189774724
导致,v,的,uj,3.492152195152557,5.643856189774724
由于,c,公司,n,3.8297754731936724,5.643856189774724
用户,n,的,uj,1.623009238897359,5.643856189774724
活跃,vn,付费,v,9.319027840568117,5.643856189774724
26,m,%,x,4.4451715044385045,5.614709844115208
产品,n,研发,j,7.1912796419192215,5.614709844115208
:,x,40,m,5.472289574843464,5.614709844115208
30,m,%,x,1.499883854170607,5.614709844115208
;,x,&#,x,7.832658281724739,5.614709844115208
43,m,%,x,3.7543311502254606,5.614709844115208
广告业务,n,收入,v,5.328961137154947,5.614709844115208
:,x,56,m,6.331245693388281,5.614709844115208
占,v,比例,n,7.095442692379014,5.614709844115208
相比,v,上,f,4.472414850390944,5.614709844115208
第四季度,l,运营,vn,2.684350963258371,5.614709844115208
图解,n,分析,vn,9.574177552997126,5.614709844115208
营收,n,增长,v,1.4281848190042428,5.614709844115208
:,x,59,m,6.183492072944589,5.614709844115208
:,x,43,m,6.521716400096341,5.614709844115208
网络游戏,n,收入,v,5.016633704298062,5.614709844115208
的,uj,第三季度,mq,-0.3246460820398239,5.614709844115208
均,d,为,p,4.358466353641498,5.614709844115208
60,m,%,x,4.205780923022105,5.614709844115208
解读,v,财报,n,7.346923517285429,5.584962500721157
收入,v,环比,j,2.1831642512549347,5.584962500721157
:,x,46,m,6.091280642603883,5.584962500721157
8203,m,;,x,8.694756168376774,5.584962500721157
;,x,互联网,n,5.2325947569839055,5.584962500721157
-,x,02,m,5.610895461100739,5.584962500721157
用户,n,将,d,4.792574145923029,5.584962500721157
02,m,-,x,5.610895461100739,5.584962500721157
:,x,42,m,6.10355897238232,5.584962500721157
公司,n,财报,n,3.6030424113029045,5.584962500721157
&#,x,8203,m,10.567629825758857,5.584962500721157
同比,j,降,v,6.196157733164161,5.584962500721157
净营收,n,的,uj,4.786765702780631,5.584962500721157
增值,v,服务收入,n,8.431721762542981,5.584962500721157
:,x,21,m,5.351093005654126,5.554588851677638
报告,n,显示,v,8.573121629272343,5.554588851677638
的,uj,季节性,n,3.3778222678499454,5.554588851677638
美国,ns,用户,n,5.285722010157324,5.554588851677638
:,x,28,m,5.658147824059958,5.554588851677638
年,m,中,f,2.5194402258009174,5.554588851677638
互联网,n,&,x,5.677150355835876,5.554588851677638
主要,b,因为,c,6.917150001573931,5.554588851677638
600,m,万美元,m,5.503194885137219,5.554588851677638
上个季度,l,和,c,4.415652075590471,5.523561956057013
为,p,具体,a,4.979057322666809,5.523561956057013
环比,j,上升,v,5.185979266861989,5.523561956057013
万,m,人,n,8.170501953171224,5.523561956057013
万美元,m,到,v,3.358750854104107,5.523561956057013
增长,v,5,x,4.377170123659693,5.523561956057013
营业,n,利润,n,5.998214735066941,5.523561956057013
所,c,产生,n,8.62915170216193,5.523561956057013
下降,v,的,uj,0.11543649877784166,5.523561956057013
报酬,n,费用,n,7.515511223632499,5.523561956057013
的,uj,产品,n,1.6905967125648893,5.491853096329675
和,c,现金,n,2.899458122423196,5.491853096329675
增长,v,4,x,4.330333813088195,5.491853096329675
今年,t,将,d,5.8251750521388495,5.491853096329675
的,uj,免费,vn,2.782959873923094,5.491853096329675
余额,n,为,p,5.007593233425325,5.491853096329675
的,uj,净亏损,vn,2.283274378694467,5.491853096329675
27,m,%,x,4.426281285017343,5.491853096329675
利润,n,同比,j,2.583140475455621,5.491853096329675
的,uj,平均,a,2.6620667501934787,5.491853096329675
第三季度,mq,总营,n,4.490237667941364,5.491853096329675
人人,n,网,n,9.923531076856648,5.491853096329675
称,v,将,d,6.0566495479624205,5.459431618637297
约,d,2000,m,8.678118087011146,5.459431618637297
基础,n,建设,vn,11.073148070868568,5.459431618637297
100,m,万美元,m,4.716598523246412,5.459431618637297
后,f,每股,r,6.3722370487780635,5.459431618637297
期间,f,推出,v,9.295257555345728,5.459431618637297
今天,t,发布,v,7.750074424254159,5.459431618637297
此前,t,预期,vn,8.978745450265604,5.459431618637297
150,m,万美元,m,5.474397620829784,5.459431618637297
于,p,3,m,5.353561725287319,5.459431618637297
市场营销,n,费用,n,6.819390681743676,5.459431618637297
第二季度,mq,运营,vn,2.670972913426082,5.459431618637297
28,m,%,x,3.7284911452902008,5.459431618637297
回购,v,计划,n,9.49383389642421,5.459431618637297
内容,n,并,c,7.484276527083569,5.459431618637297
减少,v,主要,b,3.1417011769281467,5.459431618637297
7,m,%,x,2.972073188457822,5.459431618637297
在,p,纽约,ns,6.729922165857533,5.459431618637297
年,m,的,uj,-0.9939543764879789,5.459431618637297
第二季度,mq,净利润,n,3.655486693859684,5.459431618637297
平板,n,电脑,n,10.870369018285274,5.459431618637297
29,m,%,x,4.136149114203447,5.459431618637297
季度,n,下降,v,4.581852819340405,5.459431618637297
全年,m,业绩,n,6.830390189414813,5.459431618637297
以,p,提升,v,8.17288461274289,5.459431618637297
500,m,万美元,m,5.40284435980475,5.459431618637297
增长,v,6,x,4.735573258756139,5.459431618637297
互联网,n,增值,v,7.731383713189077,5.459431618637297
产品,n,功能,n,8.991330585183128,5.459431618637297
36,m,%,x,4.647571149906633,5.459431618637297
在,p,2011,m,2.854762267444168,5.459431618637297
%,x,到,v,1.7877001430633916,5.459431618637297
召开,v,电话会议,n,10.694212063131445,5.459431618637297
增加,v,主要,b,2.9225838876245596,5.459431618637297
去年,t,同期相比,i,10.731026242872664,5.459431618637297
0912,m,:,x,7.388961191244569,5.426264754702098
亿美元,m,同比,j,1.909682984857,5.426264754702098
公司,n,此前,t,7.124353706158122,5.426264754702098
-,x,0914,m,7.2157575192596,5.426264754702098
总,b,营收,n,6.560598865563038,5.426264754702098
并,c,出售,vn,8.798614004741749,5.426264754702098
